&#x21;	&#33;	!	excl
&#x21cd;	&#8653;	⇍	nlArr, nLeftArrow
&#x21ce;	&#8654;	⇍	nhArr, nLeftrightarrow
&#x21cf;	&#8655;	⇍	nrArr, nRightArrow
&#x21d0;	&#8656;	⇐	lArr, Leftarrow, DoubleLeftArrow
&#x21d1;	&#8657;	⇑	uArr, Uparrow, DoubleUpArrow
&#x21d2;	&#8658;	⇒	rightwards double arrow
&#x21d3;	&#8659;	⇓	dArr, Downarrow, DoubleDownArrow
&#x21d4;	&#8660;	⇔	left right double arrow
&#x21d5;	&#8661;	⇕	vArr, Updownarrow, DoubleUpDownArrow
&#x21d6;	&#8662;	⇖	nwArr
&#x21d7;	&#8663;	⇗	neArr
&#x21d8;	&#8664;	⇘	seArr
&#x21d9;	&#8665;	⇙	swArr
&#x21da;	&#8666;	⇚	lAarr, Lleftarrow
&#x21db;	&#8667;	⇛	rAarr, Rrightarrow
&#x21dd;	&#8669;	⇝	zigrarr
&#x21e4;	&#8676;	⇤	larrb, LeftArrowBar
&#x21e5;	&#8677;	⇤	rarrb, RightArrowBar
&#x21f5;	&#8693;	⇵	duarr, DownArrowUpArrow
&#x21fd;	&#8701;	⇽	loarr
&#x21fe;	&#8702;	⇾	roarr
&#x21ff;	&#8703;	⇿	hoarr
&#x2200;	&#8704;	∀	for all
&#x2201;	&#8705;	∁	comp, complement
&#x2202;	&#8706;	∂	partial differential
&#x2203;	&#8707;	∃	exist, Exists
&#x2204;	&#8708;	∄	nexist, NotExists, nexists
&#x2205;	&#8709;	∅	empty, emptyset, emptyv, varnothing
&#x2207;	&#8711;	∇	nabla = backward difference
&#x2208;	&#8712;	∈	isin, isinv, Element, in
&#x2209;	&#8713;	∉	notin, NotElement, notinva
&#x220b;	&#8715;	∋	ni, niv, ReverseElement, SuchThat
&#x220c;	&#8716;	∌	notni, notniva, NotReverseElement
&#x220f;	&#8719;	∏	prod, Product
&#x2210;	&#8720;	∐	coprod, Coproduct
&#x2211;	&#8721;	∑	n-ary sumation
