&#x21;	&#33;	!	excl
&#x2a39;	&#10809;	⨹	triplus
&#x2a3a;	&#10810;	⨺	triminus
&#x2a3b;	&#10811;	⨻	tritime
&#x2a3c;	&#10812;	⨼	iprod, intprod
&#x2a3f;	&#10815;	⨿	amalg
&#x2a40;	&#10816;	⩀	capdot
&#x2a42;	&#10818;	⩂	ncup
&#x2a43;	&#10819;	⩃	ncap
&#x2a44;	&#10820;	⩄	capand
&#x2a45;	&#10821;	⩅	cupor
&#x2a46;	&#10822;	⩆	cupcap
&#x2a47;	&#10823;	⩇	capcup
&#x2a48;	&#10824;	⩈	cupbrcap
&#x2a49;	&#10825;	⩉	capbrcup
&#x2a4a;	&#10826;	⩊	cupcup
&#x2a4b;	&#10827;	⩋	capcap
&#x2a4c;	&#10828;	⩌	ccups
&#x2a4d;	&#10829;	⩍	ccaps
&#x2a50;	&#10832;	⩐	ccups
&#x2a53;	&#10835;	⩓	And
&#x2a54;	&#10836;	⩔	Or
&#x2a55;	&#10837;	⩕	andand
&#x2a56;	&#10838;	⩕	oror
&#x2a57;	&#10839;	⩗	orslope
&#x2a58;	&#10840;	⩘	andslope
&#x2a5a;	&#10842;	⩚	andv
&#x2a5b;	&#10843;	⩛	orv
&#x2a5c;	&#10844;	⩜	andd
&#x2a5d;	&#10845;	⩝	ord
&#x2a5f;	&#10847;	⩟	wedbar
&#x2a66;	&#10854;	⩦	sdote
&#x2a6a;	&#10858;	⩪	simdot
&#x2a6d;	&#10861;	⩭	congdot
&#x2a6e;	&#10862;	⩮	easter
&#x2a6f;	&#10863;	⩯	apacir
&#x2a70;	&#10864;	⩰	apE
&#x2a71;	&#10865;	⩱	eplus
&#x2a72;	&#10866;	⩲	pluse
&#x2a73;	&#10867;	⩳	Esim
&#x2a74;	&#10868;	⩴	Colone
&#x2a75;	&#10869;	⩵	Equal
&#x2a77;	&#10871;	⩷	eDDot, ddotseq
&#x2a78;	&#10872;	⩸	equivDD
&#x2a79;	&#10873;	⩹	ltcir
&#x2a7a;	&#10874;	⩺	gtcir
&#xe5fb;	&#58875;	=	(oka: equal, double bond ?, C=O)
&#xe5fc;	&#58876;	≡	(oka: identical to, triple bond ?, C≡N)
&#xfb00;	&#64256;	ﬀ	fflig
&#xfb01;	&#64257;	ﬁ	filig
&#xfb02;	&#64258;	ﬂ	fllig
&#xfb03;	&#64259;	ﬃ	ffilig
&#xfb04;	&#64260;	ﬄ	ffllig
&#x1d49c;	&#119964;	𝒜	Ascr
&#x1d49e;	&#119966;	𝒞	Cscr
&#x1d49f;	&#119967;	𝒟	Dscr
&#x1d4a2;	&#119970;	𝒢	Gscr
&#x1d4a5;	&#119973;	𝒥	Jscr
&#x1d4a6;	&#119974;	𝒦	Kscr
&#x1d4a9;	&#119977;	𝒩	Nscr
&#x1d4aa;	&#119978;	𝒪	Oscr
&#x1d4ab;	&#119979;	𝒫	Pscr
&#x1d4ac;	&#119980;	𝒬	Qscr
&#x1d4ae;	&#119982;	𝒮	Sscr
&#x1d4af;	&#119983;	𝒯	Tscr
&#x1d4b0;	&#119984;	𝒰	Uscr
&#x1d4b1;	&#119985;	𝒱	Vscr
&#x1d4b2;	&#119986;	𝒲	Wscr
&#x1d4b3;	&#119987;	𝒳	Xscr
&#x1d4b4;	&#119988;	𝒴	Yscr
&#x1d4b5;	&#119989;	𝒵	Zscr
&#x1d4b6;	&#119990;	𝒶	ascr
&#x1d4b7;	&#119991;	𝒷	bscr
&#x1d4b8;	&#119992;	𝒸	cscr
&#x1d4b9;	&#119993;	𝒹	dscr
&#x1d4bb;	&#119995;	𝒻	fscr
&#x1d4bd;	&#119997;	𝒽	hscr
&#x1d4be;	&#119998;	𝒾	iscr
&#x1d4bf;	&#119999;	𝒿	jscr
&#x1d4c0;	&#120000;	𝓀	kscr
&#x1d4c1;	&#120001;	𝓁	lscr
&#x1d4c2;	&#120002;	𝓂	mscr
&#x1d4c3;	&#120003;	𝓃	nscr
&#x1d4c5;	&#120005;	𝓅	pscr
&#x1d4c6;	&#120006;	𝓆	qscr
&#x1d4c7;	&#120007;	𝓇	rscr
&#x1d4c8;	&#120008;	𝓈	sscr
&#x1d4c9;	&#120009;	𝓉	tscr
&#x1d4ca;	&#120010;	𝓊	uscr
&#x1d4cb;	&#120011;	𝓋	vscr
&#x1d4cc;	&#120012;	𝓌	wscr
&#x1d4cd;	&#120013;	𝓍	xscr
&#x1d4ce;	&#120014;	𝓎	yscr
&#x1d4cf;	&#120015;	𝓏	zscr
&#x1d504;	&#120068;	𝔄	Afr
&#x1d505;	&#120069;	𝔅	Bfr
&#x1d507;	&#120071;	𝔇	Dfr
&#x1d508;	&#120072;	𝔈	Efr
&#x1d509;	&#120073;	𝔉	Ffr
&#x1d50a;	&#120074;	𝔊	Gfr
&#x1d50d;	&#120077;	𝔍	Jfr
&#x1d50e;	&#120078;	𝔎	Kfr
&#x1d50f;	&#120079;	𝔏	Lfr
&#x1d510;	&#120080;	𝔐	Mfr
&#x1d511;	&#120081;	𝔑	Nfr
&#x1d512;	&#120082;	𝔒	Ofr
&#x1d513;	&#120083;	𝔓	Pfr
&#x1d514;	&#120084;	𝔔	Qfr
&#x1d516;	&#120086;	𝔖	Sfr
&#x1d517;	&#120087;	𝔗	Tfr
&#x1d518;	&#120088;	𝔘	Ufr
&#x1d519;	&#120089;	𝔙	Vfr
&#x1d51a;	&#120090;	𝔚	Wfr
&#x1d51b;	&#120091;	𝔛	Xfr
&#x1d51c;	&#120092;	𝔜	Yfr
&#x1d51e;	&#120094;	𝔞	afr
&#x1d51f;	&#120095;	𝔟	bfr
&#x1d520;	&#120096;	𝔠	cfr
&#x1d521;	&#120097;	𝔡	dfr
&#x1d522;	&#120098;	𝔢	efr
&#x1d523;	&#120099;	𝔣	ffr
&#x1d524;	&#120100;	𝔤	gfr
&#x1d525;	&#120101;	𝔥	hfr
&#x1d526;	&#120102;	𝔦	ifr
&#x1d527;	&#120103;	𝔧	jfr
&#x1d528;	&#120104;	𝔨	kfr
&#x1d529;	&#120105;	𝔩	lfr
&#x1d52a;	&#120106;	𝔪	mfr
&#x1d52b;	&#120107;	𝔫	nfr
&#x1d52c;	&#120108;	𝔬	ofr
&#x1d52d;	&#120109;	𝔭	pfr
&#x1d52e;	&#120110;	𝔮	qfr
&#x1d52f;	&#120111;	𝔯	rfr
&#x1d530;	&#120112;	𝔰	sfr
&#x1d531;	&#120113;	𝔱	tfr
&#x1d532;	&#120114;	𝔲	ufr
&#x1d533;	&#120115;	𝔳	vfr
&#x1d534;	&#120116;	𝔴	wfr
&#x1d535;	&#120117;	𝔵	xfr
&#x1d536;	&#120118;	𝔶	yfr
&#x1d537;	&#120119;	𝔷	zfr
&#x1d538;	&#120120;	𝔸	Aopf
&#x1d539;	&#120121;	𝔹	Bopf
&#x1d53b;	&#120123;	𝔻	Dopf
&#x1d53c;	&#120124;	𝔼	Eopf
&#x1d53d;	&#120125;	𝔽	Fopf
&#x1d53e;	&#120126;	𝔾	Gopf
&#x1d540;	&#120128;	𝕀	Iopf
&#x1d541;	&#120129;	𝕁	Jopf
&#x1d542;	&#120130;	𝕂	Kopf
&#x1d543;	&#120131;	𝕃	Lopf
&#x1d544;	&#120132;	𝕄	Mopf
&#x1d546;	&#120134;	𝕆	Oopf
&#x1d54a;	&#120138;	𝕊	Sopf
&#x1d54b;	&#120139;	𝕋	Topf
&#x1d54c;	&#120140;	𝕌	Uopf
&#x1d54d;	&#120141;	𝕍	Vopf
&#x1d54e;	&#120142;	𝕎	Wopf
&#x1d54f;	&#120143;	𝕏	Xopf
&#x1d550;	&#120144;	𝕐	Yopf
&#x1d552;	&#120146;	𝕒	aopf
&#x1d553;	&#120147;	𝕓	bopf
&#x1d554;	&#120148;	𝕔	copf
&#x1d555;	&#120149;	𝕕	dopf
&#x1d556;	&#120150;	𝕖	eopf
&#x1d557;	&#120151;	𝕗	fopf
&#x1d558;	&#120152;	𝕘	gopf
&#x1d559;	&#120153;	𝕙	hopf
&#x1d55a;	&#120154;	𝕚	iopf
&#x1d55b;	&#120155;	𝕛	jopf
&#x1d55c;	&#120156;	𝕜	kopf
&#x1d55d;	&#120157;	𝕝	lopf
&#x1d55e;	&#120158;	𝕞	mopf
&#x1d55f;	&#120159;	𝕟	nopf
&#x1d560;	&#120160;	𝕠	oopf
&#x1d561;	&#120161;	𝕡	popf
&#x1d562;	&#120162;	𝕢	qopf
&#x1d563;	&#120163;	𝕣	ropf
&#x1d564;	&#120164;	𝕤	sopf
&#x1d565;	&#120165;	𝕥	topf
&#x1d566;	&#120166;	𝕦	uopf
&#x1d567;	&#120167;	𝕧	vopf
&#x1d568;	&#120168;	𝕨	wopf
&#x1d569;	&#120169;	𝕩	xopf
&#x1d56a;	&#120170;	𝕪	yopf
&#x1d56b;	&#120171;	𝕫	zopf
